Datum;AT0010000000000000001000012258940 (1201736728) - Verbrauch [kWh]
04.09.24;6,451
05.09.24;4,855
06.09.24;4,127
07.09.24;4,53
08.09.24;5,261
09.09.24;5,062
10.09.24;3,755
11.09.24;4,419
12.09.24;4,268
13.09.24;3,817
14.09.24;4,773
15.09.24;4,461
16.09.24;12,486
17.09.24;7,979
18.09.24;7,054
19.09.24;9,846
20.09.24;3,477
21.09.24;4,693
22.09.24;4,209
23.09.24;6,64
24.09.24;5,042
25.09.24;4,343
26.09.24;5,074
27.09.24;6,25
28.09.24;6,067
29.09.24;5,186
30.09.24;7,191
01.10.24;11,037
02.10.24;5,937
03.10.24;8,555
04.10.24;8,898
05.10.24;9,883
06.10.24;8,988
07.10.24;9,526
08.10.24;11,678
09.10.24;6,981
10.10.24;9,133
11.10.24;8,386
12.10.24;7,507
13.10.24;9,095
14.10.24;7,958
15.10.24;8,414
16.10.24;10,456
17.10.24;9,373
18.10.24;8,671
19.10.24;11,545
20.10.24;8,657
21.10.24;8,928
22.10.24;8,149
23.10.24;10,225
24.10.24;8,75
25.10.24;8,44
26.10.24;7,464
27.10.24;8,341
28.10.24;7,871
29.10.24;14,3
30.10.24;6,438
31.10.24;8,361
01.11.24;7,069
02.11.24;1,344
03.11.24;8,867
04.11.24;18,348
05.11.24;24,101
06.11.24;12,874
07.11.24;21,258
08.11.24;13,742
09.11.24;22,364
10.11.24;25,468
11.11.24;26,095
12.11.24;22,085
13.11.24;20,511
14.11.24;21,904
15.11.24;25,439
16.11.24;19,779
17.11.24;29,714
18.11.24;14,554
19.11.24;11,161
20.11.24;14,919
21.11.24;24,405
22.11.24;27,106
23.11.24;22,125
24.11.24;20,931
25.11.24;21,879
26.11.24;22,776
27.11.24;25,068
28.11.24;23,998
29.11.24;20,361
30.11.24;21,889
01.12.24;24,036
02.12.24;26,178
03.12.24;28,371
04.12.24;18,127
05.12.24;22,603
06.12.24;19,304
07.12.24;18,443
08.12.24;22,006
09.12.24;25,295
10.12.24;25,183
11.12.24;30,525
12.12.24;25,045
13.12.24;23,772
14.12.24;22,701
15.12.24;18,007
16.12.24;23,507
17.12.24;14,619
18.12.24;17,521
19.12.24;18,171
20.12.24;20,168
21.12.24;23,579
22.12.24;18,292
23.12.24;13,244
24.12.24;18,47
25.12.24;20,414
26.12.24;24,751
27.12.24;31,283
28.12.24;27,47
29.12.24;28,139
30.12.24;21,85
31.12.24;26,314
01.01.25;29,812
02.01.25;32,01
03.01.25;33,498
04.01.25;30,15
05.01.25;31,904
06.01.25;33,627
07.01.25;30,253
08.01.25;24,989
09.01.25;22,016
10.01.25;23,806
11.01.25;23,94
12.01.25;21,678
13.01.25;27,951
14.01.25;24,643
15.01.25;25,659
16.01.25;19,312
17.01.25;19,926
18.01.25;17,418
19.01.25;23,402
20.01.25;27,434
21.01.25;36,054
22.01.25;26,828
23.01.25;27,347
24.01.25;22,55
25.01.25;23,318
26.01.25;20,727
27.01.25;20,11
28.01.25;15,085
29.01.25;14,782
30.01.25;18,064
31.01.25;21,612
01.02.25;18,328
02.02.25;25,715
03.02.25;22,13
04.02.25;22,98
05.02.25;29,113
06.02.25;21,961
07.02.25;21,052
08.02.25;22,553
09.02.25;23,025
10.02.25;20,934
11.02.25;24,146
12.02.25;24,25
13.02.25;24,212
14.02.25;26,309
15.02.25;22,751
16.02.25;24,194
17.02.25;24,064
18.02.25;27,522
19.02.25;27,224
20.02.25;26,046
21.02.25;20,879
22.02.25;15,007
23.02.25;18,828
24.02.25;21,441
25.02.25;18,03
26.02.25;20,057
27.02.25;15,459
28.02.25;19,379
01.03.25;13,192
02.03.25;18,844
03.03.25;15,997
04.03.25;15,118
05.03.25;19,115
06.03.25;15,559
07.03.25;9,597
08.03.25;12,936
09.03.25;10,332
10.03.25;13,008
11.03.25;8,002
12.03.25;9,328
13.03.25;8,237
14.03.25;15,591
15.03.25;11,751
16.03.25;18,026
17.03.25;20,862
18.03.25;14,437
19.03.25;19,293
20.03.25;17,112
21.03.25;18,38
22.03.25;14,001
23.03.25;11,865
24.03.25;
